Row Number,Content,Likes,Images,Video,Article,Post Type
1,"What happens when motion capture, machine learning, and creative minds collide? The ""Duets on AI and Dance"" workshop at NYU Shanghai explored how human and machine perspectives can interact, coexist, and occasionally conflict within the context of dance. The event was led by Prof. Jung Hyun Moon from Interactive Media Arts (IMA) and Prof. Siye Tao from Performing Arts. It was supported by Prof. Gottfried Haider and the ml5 team, and partially funded by a grant from the Shang … See more",4,"['https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/472248421_1078144280958057_429744550517440625_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=127cfc&_nc_ohc=xVlymtF-I_cQ7kNvgFKjpf2&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=A3DF4s5cqY5D8JYmZ072saN&oh=00_AYCAJY5BAgCqPxEC0KC8E78CsAIMRjd6EWZAB2iVkBedEg&oe=67810B8D', 'https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/472068639_1078144237624728_3157574844650450263_n.jpg?stp=dst-jpg_p960x960_tt6&_nc_cat=101&ccb=1-7&_nc_sid=127cfc&_nc_ohc=W3emTdEc8DcQ7kNvgGWIdDs&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=A3DF4s5cqY5D8JYmZ072saN&oh=00_AYBIeEsZsulOf-0aYjhbWDtY6Cu9xXt0fiYA723foc1glw&oe=6780F5E7', 'https://scontent-lga3-1.xx.fbcdn.net/v/t39.30808-6/472259840_1078144197624732_3059448766143456576_n.jpg?stp=dst-jpg_p960x960_tt6&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=i_-HaZ1Tvt4Q7kNvgGIlJwQ&_nc_zt=23&_nc_ht=scontent-lga3-1.xx&_nc_gid=A3DF4s5cqY5D8JYmZ072saN&oh=00_AYDSj0hXUJgIbONB5eZKINbEKpI-t4L-7mK78DjKRP6M7A&oe=6780F0F9']",,,image
2,"Happy New Year! As we welcome 2025, NYU Shanghai wishes you a year full of discovery, growth, and success. Here’s to embracing new opportunities and making unforgettable memories together. #NYUShanghai #HappyNewYear2025",13,['https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/471822359_1076652417773910_5422520054614082918_n.jpg?stp=dst-jpg_s1080x2048_tt6&_nc_cat=101&ccb=1-7&_nc_sid=127cfc&_nc_ohc=h7PcOjKp0kIQ7kNvgGkL4IM&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=Aa977_cOgLs9Cu5MpqONoF5&oh=00_AYBxLMP8_BeztiNEQmy8bWIuRaIroFYDytKqJWm--IssSw&oe=6780F348'],,,image
3,"And just like that, 2024 at NYU Shanghai is complete! We connected through on and off-campus events, welcomed esteemed guests, got creative, showcased our talents, and learned so much this year--from the classroom to the city and beyond! #HappyNewYear , NYU Shanghai!",12,,"<video class=""x1lliihq x5yr21d xh8yej3"" playsinline="""" src=""blob:https://www.facebook.com/a5d3612e-8638-4e36-a085-47f6522f070b"" style=""display: block;""></video>",,video
4,Elima Zamirbekova '28 from Kyrgyzstan takes us through a day in her life as an NYU Shanghai student!,54,,"<video class=""x1lliihq x5yr21d xh8yej3"" playsinline="""" src=""blob:https://www.facebook.com/9b914490-3fb6-41b4-b5cb-0410549d30ae"" style=""display: block;""></video>",,video
5,"One of the coolest things about being a student at NYU Shanghai is getting to explore China! Can you guess which two cities in China Batool and Ari visited during their fall break, this semester?",11,"['https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/470533474_1066414475464371_2413458861865142471_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=127cfc&_nc_ohc=1qcl4iVAtywQ7kNvgHGp8eS&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=Af3cCHSs-pWoylAzCYufVDK&oh=00_AYCVeERxgk0akoTHZjBnzKySSuosW9QbRPyZ2FVDpsA7mw&oe=6780F270', 'https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/470239567_1066415188797633_1795202837699972781_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=127cfc&_nc_ohc=BeQ9AIES8EEQ7kNvgF21z1P&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=Af3cCHSs-pWoylAzCYufVDK&oh=00_AYDxPthvJeY95bwbvK8mi_BZgt9DVz4iA3FcIuWLquMu7w&oe=6780EBCB', 'https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/470193297_1066415205464298_4126627422171596575_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=127cfc&_nc_ohc=O5ry_a8Xhm8Q7kNvgGhMZpF&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=Af3cCHSs-pWoylAzCYufVDK&oh=00_AYDHkPVWFqbCUovmj0N8G-iKQAeof4d42OuWoh_HhJWzkg&oe=678100FE', 'https://scontent-lga3-1.xx.fbcdn.net/v/t39.30808-6/470667001_1066416082130877_692950826463941504_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=127cfc&_nc_ohc=sDzW6mXJ2JkQ7kNvgFP6U4p&_nc_zt=23&_nc_ht=scontent-lga3-1.xx&_nc_gid=Af3cCHSs-pWoylAzCYufVDK&oh=00_AYDNdmtjk9dyShIhWeB2a_rdKyS7NYF18GW8CNFIeMq0zQ&oe=678118AA', 'https://scontent-lga3-1.xx.fbcdn.net/v/t39.30808-6/470597886_1066414585464360_6854292380267841257_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=b7C3A3qkxdoQ7kNvgFdsBaz&_nc_zt=23&_nc_ht=scontent-lga3-1.xx&_nc_gid=Af3cCHSs-pWoylAzCYufVDK&oh=00_AYD-k1_ilVeXnoLsTDRSDGEqVOqz8108z-aKQWM9U_RnRQ&oe=67811B2E']",,,image
6,"Happy Holidays, everyone! Cheers to creating your  own cozy, holiday vibes. We love how Gabriel decked out his dorm room for the occasion and made time for some holiday baking. Anyone else spot NYU Shanghai's Qilin mascot?",3,,"<video class=""x1lliihq x5yr21d xh8yej3"" playsinline="""" src=""blob:https://www.facebook.com/8d7b7298-bb81-4d22-bfc4-c327a89e5d38"" style=""display: block;""></video>",,video
7,Have you been to NYU Shanghai’s community rooftop garden? NYU Shanghai student Mahrukh Shaikh from Abu Dhabi gave it an honest rating before the semester ended—points docked for small snail bites!,5,,"<video class=""x1lliihq x5yr21d xh8yej3"" playsinline="""" src=""blob:https://www.facebook.com/0c60847b-2a38-4a6d-b72b-71007fee2a1a"" style=""display: block;""></video>",,video
8,"Relive the excitement of the Sino-Foreign University Cup with NYU Shanghai’s athletes showcasing their talent, teamwork, and determination! From intense goals to game-changing plays, watch how our athletes bring their A-game and embody the spirit of sportsmanship at this competition hosted on campus.",5,,,https://www.youtube.com/watch?v=wKfdashwGRo&t=4s&ab_channel=NYUShanghai&fbclid=IwZXh0bgNhZW0CMTEAAR0wpBxyFiZxNnOkVC_Jb4VG8uiFhA0fXf9AxmuESdWXept1fsNISpAQOqo_aem_qqbchI4wXLKMT-q5iwYrdw,article
9,We asked NYU Shanghai students to share photos from their travels during the fall semester and loved how Audrey Merchak captured Suzhou and Shanghai with a nostalgic serenity.,14,"['https://scontent-lga3-3.xx.fbcdn.net/v/t39.30808-6/470213964_1066398425465976_1123108167242478748_n.jpg?stp=dst-jpg_p960x960_tt6&_nc_cat=110&ccb=1-7&_nc_sid=127cfc&_nc_ohc=YTMhLyMyeaQQ7kNvgFFlKpa&_nc_zt=23&_nc_ht=scontent-lga3-3.xx&_nc_gid=AmQSFira4TjSHaL-oV32AGP&oh=00_AYA8dwhh-UfyALB8ouJ4IUwdcJJ-a-j-BLe0Jtzmbz28jw&oe=6780FFAF', 'https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/470596866_1066398442132641_815808408749336189_n.jpg?stp=dst-jpg_p960x960_tt6&_nc_cat=107&ccb=1-7&_nc_sid=127cfc&_nc_ohc=IZkulv9kTAoQ7kNvgG0r8hr&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=AmQSFira4TjSHaL-oV32AGP&oh=00_AYC275hsMz_Jj2inuE58-nddm8n2MeG-UmlVVtN_K82FGw&oe=6781122A', 'https://scontent-lga3-1.xx.fbcdn.net/v/t39.30808-6/470186886_1066398345465984_6038965080743705638_n.jpg?stp=dst-jpg_p720x720_tt6&_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_ohc=roglEwPrx8QQ7kNvgEL3yqm&_nc_zt=23&_nc_ht=scontent-lga3-1.xx&_nc_gid=AmQSFira4TjSHaL-oV32AGP&oh=00_AYCkLm_SbjmQct_C-ovT63nDIAkLO-AChp4qTqcaLM0KbQ&oe=67810BAA', 'https://scontent-lga3-1.xx.fbcdn.net/v/t39.30808-6/470581107_1066398295465989_3589386845594614431_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=127cfc&_nc_ohc=T8y9DWQtMVcQ7kNvgE0NI_O&_nc_zt=23&_nc_ht=scontent-lga3-1.xx&_nc_gid=AmQSFira4TjSHaL-oV32AGP&oh=00_AYAymhUwLW0E9cEyzzDDnnQSVvbn19IhGNbCJadf2DvAYg&oe=67810F48', 'https://scontent-lga3-3.xx.fbcdn.net/v/t39.30808-6/470635811_1066398298799322_9018901866760914906_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=127cfc&_nc_ohc=ZHv1bg220hcQ7kNvgF2iWh1&_nc_zt=23&_nc_ht=scontent-lga3-3.xx&_nc_gid=AmQSFira4TjSHaL-oV32AGP&oh=00_AYDCFSlO5S15a9By4Q-daUg7VLOb8dNw3DbTqSReozhyaA&oe=67810B42']",,,image
10,"In a unique workshop inspired by the NYU Shanghai course Good Death: China and Comparative Perspectives, students and faculty visited Shanghai Fushou Garden to reflect on life’s profound questions. Through meditation walks, honoring influential figures, and posting their wishes, participants discovered new perspectives on living meaningfully and embracing the present.",5,"['https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/470224164_1065610955544723_2740489358219477866_n.jpg?stp=cp6_dst-jpg_p960x960_tt6&_nc_cat=105&ccb=1-7&_nc_sid=127cfc&_nc_ohc=mkiTG7mAC60Q7kNvgHW1pVS&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=AmQSFira4TjSHaL-oV32AGP&oh=00_AYAbDEirZ1I5uB-djCO7KkhuuIRPkvoAcTApns1POe1dIg&oe=6780EB6B', 'https://scontent-lga3-1.xx.fbcdn.net/v/t39.30808-6/470236427_1065610958878056_5648788316379325353_n.jpg?stp=cp6_dst-jpg_p960x960_tt6&_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_ohc=JN8YamUmceQQ7kNvgH7d13w&_nc_zt=23&_nc_ht=scontent-lga3-1.xx&_nc_gid=AmQSFira4TjSHaL-oV32AGP&oh=00_AYD8G6yBTSUwLqgB0whhI7DeEDeoZkoYdGUnOn95W2aM-A&oe=67811F1B', 'https://scontent-lga3-1.xx.fbcdn.net/v/t39.30808-6/470241163_1065610868878065_1108091905775593987_n.jpg?stp=cp6_dst-jpg_p960x960_tt6&_nc_cat=111&ccb=1-7&_nc_sid=127cfc&_nc_ohc=VK3gouwTCIIQ7kNvgETEpIG&_nc_zt=23&_nc_ht=scontent-lga3-1.xx&_nc_gid=AmQSFira4TjSHaL-oV32AGP&oh=00_AYBLlqtplfUd5znfU9hFgRYsQyGDwXimJtrypf_rFJAe0w&oe=678101A3', 'https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/470198028_1065611052211380_3204293790071177566_n.jpg?stp=cp6_dst-jpg_p960x960_tt6&_nc_cat=101&ccb=1-7&_nc_sid=127cfc&_nc_ohc=SsDqkWju0loQ7kNvgG9HWBh&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=AmQSFira4TjSHaL-oV32AGP&oh=00_AYCeGzcjU3CuhWLf_JUD1V58VegnEstKQSYS4zEOZDEEwQ&oe=67810731', 'https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/470182576_1065610855544733_2993421838985032569_n.jpg?stp=cp6_dst-jpg_p960x960_tt6&_nc_cat=107&ccb=1-7&_nc_sid=127cfc&_nc_ohc=LtrRWswHvKoQ7kNvgEqp26S&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=AmQSFira4TjSHaL-oV32AGP&oh=00_AYC5IF65gUH_SZLhnrB3M8IDXSR6fRCRvmU0SzITjXY5bQ&oe=67811D19']",,,image
