Post ID,Author Name,Likes,Comments,Post Title,Caption,Date Published,Images,Author Avatar,Stars,Author Collect Nr,Author Fans Nr,Author Note Nr,Video URL,User URL,Note URL
65fc36fe000000001203e168,美丽攻略,123,0,干皮抗老修护的秘密！,🌸娇兰复原蜜 其配方蕴含95%源自天然成分 	 🐝 成分 ：法国乌埃尚岛的黑蜂蜂蜜，被誉为自然界的液体黄金，它的独特修复力，能够帮助肌肤抵御外界压力，回复肌肤的紧致与光泽。加上金色微粒成分，可以改善肌肤，进行舒缓修护 	 💧 质地 ： 质地清爽的油，这款复原蜜的质地独特，一抹即化，迅速被肌肤吸收，不留油腻感，让肌肤瞬间饱满，焕发自然光泽。 	 🌟 复原蜜 不仅仅是滋润，它还能提亮肤色，改善肌肤纹理，让肌肤看起来更加年轻有活力。无论是早晚，都可以作为护肤的最后一步，锁住所有营养，让肌肤整日保持最佳状态。 	 注： 1.适合换季、暗沉疲惫的时候~ 2.也可进行妆前打底哦~ 3.油皮不建议，敏感肌建议先做敏感测试哦~ #娇兰复原蜜  #娇兰  #精华  #精华分享  #修护  #抗老  #精华油,编辑于 2024-05-21,images_keyword/65fc36fe000000001203e168.jpg,avatars_keyword/65fc36fe000000001203e168.jpg,123,5258,436,7,N/A,/user/profile/64144fde0000000011022fc6?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=AB_2oB9_5lhyfl4PToy49-fHKVJ0lc_-e0jSYEsezwTjg=&xsec_source=pc_search,/search_result/65fc36fe000000001203e168?xsec_token=ABasC06U3d41WRkIL8fIes7_MPa4equLb34nqU4_I5oA0=&xsec_source=
66d5975e000000001d017f77,维鉴App,59,共 19 条评论,🌟娇兰复原蜜🔍真假鉴别,💡以下对比仅基于个人看法及相关了解 不排除个别鉴别点存在版本差异‼️ 只有此版本对比，其他版本仅供参考 请综合多个辨别点进行对比‼️ 文章实用期为3-4个月，过后请等待更新 	 1.盖子LOGO 正品盖子LOGO蜜蜂尾巴较自然 假货盖子LOGO蜜蜂尾巴较生硬 	 2.瓶身正面 正品瓶身正面字体印刷清晰 假货瓶身正面字体印刷模糊 	 3.瓶身底部 正品瓶身底部字体加深处理 假货瓶身底部字体无加深处理 	 4.盖内 正品盖内螺纹较细 假货盖内螺纹较粗 	 5.吸管头部 正品吸管头部形状与假货不一致 	 👆🏻以 上 仅 供 大 家 参 考 假货版本很多，无法一一做对比 美貌与智慧并存的小仙女们🧚‍♀️ 都知道如何辨别了吗? 我是小维，专注美妆鉴别，化妆品批号查询！！为正品保驾护航！ 我们下一期再见~ #真假辨别 #真假鉴别 #娇兰 #娇兰复原蜜 #复原蜜 #精华 #真假,2024-09-02,images_keyword/66d5975e000000001d017f77.jpg,avatars_keyword/66d5975e000000001d017f77.jpg,赞,31.1万,3.2万,21,N/A,/user/profile/5e8c3a6a000000000100afe8?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABuZcNOcFPy8J-vP14nU8TceSk0bWU41vuWQ3JGJNlzqE=&xsec_source=pc_search,/search_result/66d5975e000000001d017f77?xsec_token=ABljJv4H4MBruoMtfmI4K9dR3qHmfxOv7w4EOhVpjjt_U=&xsec_source=
662d10a5000000000100671e,社恐的烤烤伦,3234,共 17 条评论,修护抗老天选CP！脸嫩到不像话就靠这对,娇兰坠火的两样单品：复原蜜和双效精华 还有不知道的姐妹吗❓ 分开用是王者，组合在一起就是王炸 抗老修护1+1＞2，可以不买娇兰其它东西 但是这两样一定要买，配一脸👏 敏肌抗老的难题遇上它俩都能迎刃而解啦👊 - 👉娇兰复原蜜 主打以油养肤，修护肌肤 核心成分是娇兰家的黑蜂蜂蜜+蜂皇浆 能从肌底唤醒肌肤活力，根源修护肌肤 让脆弱皮肤屏障变得厚实耐造 还有浓缩蜂蜜能维稳肌肤舒缓外界刺激 别看它是水油质地，用起来还挺润的 丝毫没有油腻厚重的感觉 - 👉娇兰双效精华 双管双效，一瓶做到两瓶精华的功效！绝了 左瓶去黄提亮，右瓶紧致抗老 成分主打天然发酵黑蜂蜂蜜 能修护皮肤屏障，提升细胞活力 复合果酸温和剥落老废角质，抛光嫩滑肌肤 还有白蜂蜜揽起去黄提亮的重任 双瓶设计挤出来的质地也很特 一边是啫喱质地，一边是轻薄乳液质地 肤感清爽，夏天用都没有负担 - ✍我一般是爽肤后就用复原蜜 用之前摇一摇，挤出来再把 里面的黄金微粒给揉开 接着再涂抹这个双效精华 坚持用效果真的出人意料的好👍 皮肤状态都稳定了许多 不会动不动就敏感红脸啦 最近经常熬夜皮肤都是紧致细腻 从内到外都透着光泽感的那种✨ #修护精华 #抗老精华 #娇兰复原蜜 #娇兰双效精华 #抗老好物,编辑于 2024-07-26,images_keyword/662d10a5000000000100671e.jpg,avatars_keyword/662d10a5000000000100671e.jpg,2,21.5万,1.6万,21,N/A,/user/profile/6613d5720000000003033319?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABo_NPQG8hpD_Ujbt74_ctie1H_qVYaR3fIiG7abIOlto=&xsec_source=pc_search,/search_result/662d10a5000000000100671e?xsec_token=ABvuKzsCAixZ00nECLuo5JeX3R_L72myEixyxLDve_y2U=&xsec_source=
6698993c000000000d00fe91,我是云歌呀美妆,3992,共 245 条评论,六款最好用的精华液！你喜欢哪款？,兰蔻小黑瓶精华 YSL夜皇后精华 雅诗兰黛小棕瓶 娇韵诗双萃精华 海蓝之谜浓缩瓶精华 娇兰复原蜜精华 声明：排序不分先后，不拉不踩，文案都是本人使用后的感受，各有优缺点，不突出某个品牌，也不打压某个品牌，都是平等平等 #年度幸福感好物 #收缩毛孔精华 #精华推荐#精华液 #精华液推荐 #兰蔻小黑瓶 #娇韵诗双萃精华 #海蓝之谜浓缩精华 #娇兰复原蜜 #雅诗兰黛小棕瓶,2024-07-18,images_keyword/6698993c000000000d00fe91.jpg,avatars_keyword/6698993c000000000d00fe91.jpg,15,10.4万,2728,5,N/A,/user/profile/661a4ca60000000003032672?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABG36WV3ck1tHmQV4ttdV0g-xS3BlgNsSglDebZp3Vvko=&xsec_source=pc_search,/search_result/6698993c000000000d00fe91?xsec_token=ABllriXOoniuK9hIP8tK7cRGWcZGEe3pwbiql4GqfCEtk=&xsec_source=
676a222a000000000902d01b,奶呼呼💨,24,共 5 条评论,2024新品缩毛孔精华测评分享!买对不买贵！,缩毛孔/缩毛孔精华/水杨酸精华推荐/紧致淡纹/收缩毛孔/出油长痘/精华推荐/淡纹精华/水杨酸精华/提亮精华 姐妹们现在的广告真的防不胜防！ 跟着缩毛孔精华排行榜第一名选！不踩雷就奇了怪了！过来人经验！还是好好做功课才是真！ 给大家整理出来一些精华干货！快点码住吧！ ❤️shrink水杨酸精华 ❤️兰蔻小黑瓶精华 ❤️海蓝之谜精华 ❤️雅诗兰黛精华 ❤️娇兰复原蜜精华 缩毛孔小知识 1.毛孔粗大要先保持饥饿，减轻脾胃负担 2.有时候想吃东西了，不是饿了，是缺水 3.最简单的缩毛孔方式就是不熬夜 4.每晚试试热水泡脚，加快X液循环 5.不建议吃腌制食品! 6.汗蒸，可以暴汗跟Shu通身体 7.多喝水可以提高代谢，降火 8.避免长时间服用大量ji素的药物 9.饮食结构的核心是忌辛辣。毛孔粗大无论如何都要忌辛辣 10.坚持使用缩毛孔精华改善皮肤，收敛大毛孔 感谢@菁菁老师的小宇宙 的图文授权 请@薯队长 不要误判 #收缩毛孔#水杨酸精华#水杨酸#精华液#痘痘#闭口#好物分享#精华推荐 #精华 #水杨酸#好用的水杨酸棉片 #精华分享#水杨酸棉片#水杨酸棉片一周使用几次 #怎么选精华#毛孔粗大怎么办 ＃好用精华分享#学生党必备 #精简护肤 #好用精华 #改善毛孔 #黑头多怎么办 #清完黑头如何缩毛孔 #油痘肌#闭口粉刺#痘痘#痘印#清洁毛孔#油痘肌#防晒#毛孔堵塞#国货护肤品推荐#真实测评,2024-12-23,images_keyword/676a222a000000000902d01b.jpg,avatars_keyword/676a222a000000000902d01b.jpg,赞,1177,47,21,N/A,/user/profile/65549c20000000000802d245?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABXyRdEKqjhgJShkmwxBn2gsLVqCKDIfqBZIHZ8-3zAsA=&xsec_source=pc_search,/search_result/676a222a000000000902d01b?xsec_token=ABQDa5OTAqqGzQoLdjy6f6YeIeyhVA0R5zBEIfSPatgyw=&xsec_source=
6716976e0000000021000c2c,小金在首尔,324,共 1 条评论,肌底液(二)娇兰篇-复原蜜你用对了么?,"感觉有很多姐妹觉得复原蜜里面有黄金色小颗粒很新奇. 感觉很好用,缺不知道原来复原蜜原来是肌底液... ... #娇兰复原蜜  #美白淡斑  #护肤  #美白精华推荐  #娇兰复原蜜  #复原蜜  #娇兰黄金复原蜜  #娇兰 #iu  #娇兰黄金修护CP  #肌底液  #抗老精华  #抗氧化精华  #精华怎么用  #抗老面霜",2024-10-21,images_keyword/6716976e0000000021000c2c.jpg,avatars_keyword/6716976e0000000021000c2c.jpg,赞,7.7万,2388,21,N/A,/user/profile/6060c62400000000010026a1?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABC4JIwqiU0EP5BK7OnxsO6zmKEFd6sGTyQtFVqJuVTUA=&xsec_source=pc_search,/search_result/6716976e0000000021000c2c?xsec_token=ABWJc1GvrtyH_RMR9VoggyAd_mSEiK0k5Gv7vwVSzOjv4=&xsec_source=
66d9813200000000250307af,骆驼爱吃鱼,397,共 41 条评论,8款风大抗初老精华液！做功课选对不烂脸,为了避免肌肤遭遇蜡黄暗沉的困扰 或者脸蛋垮垮的越看越不爽☹ 正确使用和选择精华液就至关重要咯 胡乱涂抹只会暴殄天物哦 给大家推荐几款爱用的精华液 大家按需种草！ - 🎀CEMOY微凝珠精华【修护抗老】 🎀娇韵诗双萃精华【去黄提亮】 🎀娇兰复原蜜精华【均匀肤色】 🎀YSL夜皇后精华【细腻肌肤】 🎀海蓝之谜浓修精华【强韧屏障】 #CEMOY微凝珠精华 #CEMOY #CEMOY精华 #护肤步骤 #学生党必备 #抗老精华 #平价精华 #一篇教你选对精华 #精华推荐40岁 #精华推荐 #精华推荐学生 #精华这么选  #底妆怎么服帖干净不卡粉 #修复精华 #精华干皮 #精华推荐20岁抗初老 #精华这样选不出错  #ONLY黑管精华 #修护精华 #精华推荐25岁以上 #精华敏敏肌  #YSL夜皇后精华 #娇韵诗双萃精华 #敏感肌  #精华#精华推荐35岁以上 #热门修护精华 #康佳  #抗老精华 #修丽可色修精华 #科颜氏精华 #雅诗兰黛小棕瓶精华 #退红修复精华 #敏感肌精华 #晒后修护 #护肤 #干敏皮精华 #屏障受损 #皮肤屏障受损怎么修复 #精华什么肤质适合用,2024-09-05,images_keyword/66d9813200000000250307af.jpg,avatars_keyword/66d9813200000000250307af.jpg,1,2590,82,6,N/A,/user/profile/66c94ce5000000001d02395a?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABHbCg6iwiK09FwuRigtHPh1z3ycn9uQArfFquBemDT1c=&xsec_source=pc_search,/search_result/66d9813200000000250307af?xsec_token=ABOqIbZOP94Ly45aqqXs2NFzncG__nOoxsNh6qeKv11aQ=&xsec_source=
67471cb40000000006017189,我是云歌呀美妆,1072,共 11 条评论,不同年龄段抗老精华如何选！公主看过来,🌸18-25岁 修丽可B5精华 兰蔻小黑瓶精华 YSL夜皇后精华 雅诗兰黛小棕瓶精华 🌸25-30岁 兰蔻小黑瓶精华 资生堂红腰子精华 倩碧镭射精华 雅诗兰黛小棕瓶精华 🌸30-35岁 娇兰双管精华 娇韵诗双萃精华 娇兰复原蜜 雅诗兰黛小棕瓶精华 🌸35岁以上 娇兰复原蜜 海蓝之谜浓缩精华 科颜氏淡斑精华 SK-II 小灯泡 声明：排序不分先后，不拉不踩，文案都是本人使用后的感受，各有优缺点，不突出某个品牌，也不打压某个品牌，都是平等平等 #时尚是轮回 #不同年龄段护肤 #抗初老护肤品推荐 #护肤推荐 #精华 #精华分享 #小黑瓶精华 #小棕瓶精华 #双萃精华 #复原蜜,2024-11-27,images_keyword/67471cb40000000006017189.jpg,avatars_keyword/67471cb40000000006017189.jpg,10,10.4万,2728,5,N/A,/user/profile/661a4ca60000000003032672?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABG36WV3ck1tHmQV4ttdV0g-xS3BlgNsSglDebZp3Vvko=&xsec_source=pc_search,/search_result/67471cb40000000006017189?xsec_token=AB5BoC1uhTgbHHDllTCcvKIwhJYtkCINgbyIXl_9B0BkQ=&xsec_source=
673eb009000000000201a7d2,美国海淘日记分享,1,0,娇兰复原蜜套装圣诞礼物,美国丝芙兰买的 美版娇兰超值套装 套装包含50ml复原蜜+15ml面霜+水40ml+7片双管精华！！ 价格太好了，送人也不错！ 	 #娇兰复原蜜 #娇兰圣诞 #娇兰套装,编辑于 2024-11-21,images_keyword/673eb009000000000201a7d2.jpg,avatars_keyword/673eb009000000000201a7d2.jpg,1,3319,991,21,N/A,/user/profile/5f12fa71000000000100352f?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=AB8vC3r82w97GFjs3is1lxtSegy0QzDA2pCL5NNUha4Lw=&xsec_source=pc_search,/search_result/673eb009000000000201a7d2?xsec_token=AB_yC_-83WnoX_VTiBd0XjxW7meDy32VpmrOtSUPl3dxQ=&xsec_source=
672a2c8d000000001b02bcba,乜奇淑美妆,6,0,精华怎么选?,#娇韵诗  #娇韵诗双萃  #娇兰复原蜜  #娇兰帝皇蜂姿  #娇兰黄金复原蜜  #精华,编辑于 01-20 广西,images_keyword/672a2c8d000000001b02bcba.jpg,avatars_keyword/672a2c8d000000001b02bcba.jpg,6,260,495,8,N/A,/user/profile/66d9d969000000001b019e67?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABOqIbZOP94Ly45aqqXs2NFxsg70_EFmLl1PwZltWAIzM=&xsec_source=pc_search,/search_result/672a2c8d000000001b02bcba?xsec_token=ABSsI1nAHLRi0hz_LMiEfPJQv6T9cb5sY_6J9tw09Sno4=&xsec_source=
